;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 34;8,001;36,005;10,965;35,365;195,0283031;3,193240348;3,769643701;0,045629037;356,2313297;4,311944011;298440,5296;58230,36112;11014973163;401243948,5;181,3783603;0,046725527;4,762703855;0,688646523;3,973605457;-0,000698188;-3,681873203;0,753030886;9120709670;6484309,927;11,70246458;0,83996599;0,000328335;1,781857172;3,82909E-05;3;334,6962972;2034,737771;299,175736;1735,562035
Indent 35;8,001;40,005;11,299;39,434;200,4623457;4,297981125;3,293742683;0,05247235;311,2586835;4,958637078;310459,5093;60698,16928;13197109326;361906194,1;180,3075471;0,068533146;6,798772694;0,808036189;3,078721563;0,000731145;4,414447111;0,617026906;11840870942;4611670,156;6,949316356;0,516039472;0,000183207;1,865345383;0,000239648;2,696110185;348,0853675;1822,51575;248,335234;1574,180517
Indent 36;8,001;44,006;11,633;43,437;206,3412329;5,044488602;3,79853428;0,114341025;358,9614894;10,80522686;315246,3225;63314,23041;12009802512;194193070,9;181,8306277;0,083548022;8,058676605;0,891869524;3,215965456;0,001985772;10,40463632;0,980658649;11471718939;1834137,413;3,039552038;0,290041107;0,000132819;1,944714821;0,000130032;2,774522745;338,7800294;2079,032272;327,1075733;1751,924698
Indent 37;12,001;44,006;15,568;43,27;204,5560348;2,490596526;4,349762672;0,247392486;411,0525725;23,37858993;304708,2827;55540,81691;10361556297;447182034,1;214,3505936;-0,033853358;-3,307296228;0,614269796;5,585048381;-0,004269572;-19,61563495;0,990279957;8230178988;7366771,748;14,20809534;0,90229416;0,001059651;1,595935022;0,000177391;2,711877526;344,0161465;2319,812065;318,957994;2000,854071
Indent 38;12,001;40,005;15,268;39,368;194,1208164;3,810783877;3,145136077;0,043113113;297,2153593;4,074189211;303887,6868;59906,2777;13097227412;465930322,6;178,6470015;0,052337913;5,370739901;0,625921158;3,194996143;-0,000168644;-1,068125406;0,050773887;11151230270;6582050,446;10,01086635;0,66221029;0,000252237;1,801039885;7,87259E-05;2,912448017;344,4979983;1749,250912;223,9916224;1525,25929
Indent 39;12,001;36,005;14,868;35,498;199,9092612;2,618254353;3,325282174;0,04416484;314,2391655;4,173577393;307468,8359;59598,1641;13016374666;416053032,3;190,4323794;0,032412294;3,229142915;0,510219858;3,526600594;-0,000688538;-4,123915195;0,809214766;11200062848;6212046,659;9,505064862;0,742221504;0,000297436;1,78011265;8,49284E-05;2,910317695;346,4978132;1828,698094;236,4146901;1592,283404
Indent 40;12,001;32,004;14,568;31,763;204,297725;2,224486263;3,602009726;0,038388288;340,3899192;3,627693172;309308,329;56364,76118;12458007229;254695588,3;200,7610422;0,012194434;1,18233792;0,092033424;3,715445881;-0,000391126;-2,150877359;0,317920342;11701315221;2609063,641;4,148390232;0,321372162;0,000315677;1,78259745;6,37611E-05;3;349,8521033;1954,306362;249,4245083;1704,881853
Indent 41;12,001;28,004;14,268;27,693;196,2761225;1,865777026;3,986826437;0,131895996;376,7550983;12,46417161;296728,2818;57093,66198;10537421946;462778344,6;190,8266748;0,018789236;1,902062592;0,333805581;4,638864655;-0,002248173;-11,20432022;0,956293025;8325944102;7624989,148;14,37765345;0,893567234;0,000557065;1,696410997;0,000404264;2,513928212;342,9457352;2130,694786;309,4711742;1821,223612
Indent 42;12,001;24,003;13,967;23,824;188,6425666;3,51028781;3,371333241;0,040458244;318,5909913;3,823304099;293655,182;58374,26731;11641315034;404395371;172,7677329;0,05397541;5,704038205;0,7825898;3,453621982;-0,000279787;-1,654442479;0,158295304;9708968361;6570097,511;11,25112479;0,873693303;0,000248635;1,813316896;0,000322286;2,602418613;344,835618;1851,97055;258,1081859;1593,862364
Indent 43;12,001;20,003;13,567;19,755;174,2419563;2,401705528;3,327664832;0,069198424;314,4643266;6,539251075;270351,0073;52801,81827;10307535067;432100878,9;164,2064458;0,034527007;3,939170577;0,670273122;3,670431088;-0,001179282;-7,044927683;0,9419245;8224848334;7165448,967;13,81933627;0,891846229;0,000320625;1,763812642;0,0017636;2,190928964;348,5550174;1791,144351;241,8225495;1549,321802
